WaltDisneyWorld	January	11	2004	9371
WaltDisneyWorld	January	12	2003	9404
WaltDisneyWorld	January	6	2002	7950
WaltDisneyWorld	January	7	2001	8012
WaltDisneyWorld	January	8	2000	7270
Wineglass	October	6	2013	1682
Wineglass	September	30	2012	1584
Wineglass	October	2	2011	1447
Wineglass	October	3	2010	1486
Wineglass	October	4	2009	783
Wineglass	October	5	2008	551
Wineglass	September	30	2007	420
Wineglass	October	1	2006	606
Wineglass	October	2	2005	536
Wineglass	October	3	2004	547
Wineglass	October	5	2003	699
Wineglass	October	6	2002	721
Wineglass	October	7	2001	652
Wineglass	October	1	2000	576
